IMMR_code,Disease,live_m_17-49,live_m_50-69,live_m_70+,live_m_NA,live_m_Total,year
128,"Acute myocardial infarction (I21,I22)",3001,6677,2375,41,12094,2009
129,"Other ischaemic heart disease  (I20,I23-I25)",7782,18734,9216,90,35822,2009
130,Pulmonary embolism (I26),25,59,52,0,136,2009
131,Cor pulmonale (I27.9),125,338,192,0,655,2009
132,Heart failure (I50),1009,3504,2578,22,7113,2009
134,Cerebroavascular disease (I60-I69),2408,8457,6158,78,17101,2009
135,Atherosclerosis (I70),9,31,21,2,63,2009
136,Arterial embolism and thrombosis (I74),11,24,10,0,45,2009
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",323,472,221,0,1016,2009
125,Essential hypertension (I10),7451,17978,10752,98,36279,2010
126,Hypertensive heart disease (I11),666,1596,844,13,3119,2010
127,Other hypertensive diseases (I12-I15),425,614,373,23,1435,2010
128,"Acute myocardial infarction (I21,I22)",3190,7576,2795,22,13583,2010
129,"Other ischaemic heart disease  (I20,I23-I25)",7956,19963,9773,87,37779,2010
130,Pulmonary embolism (I26),24,40,23,0,87,2010
131,Cor pulmonale (I27.9),62,296,197,2,557,2010
132,Heart failure (I50),990,3458,2572,15,7035,2010
134,Cerebroavascular disease (I60-I69),2640,9211,6882,101,18834,2010
135,Atherosclerosis (I70),30,48,32,0,110,2010
136,Arterial embolism and thrombosis (I74),29,40,11,0,80,2010
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",448,697,271,2,1418,2010
125,Essential hypertension (I10),7214,17976,10841,84,36115,2011
126,Hypertensive heart disease (I11),636,1884,1017,21,3558,2011
127,Other hypertensive diseases (I12-I15),306,612,333,4,1265,2011
128,"Acute myocardial infarction (I21,I22)",3157,8367,3070,29,14638,2011
129,"Other ischaemic heart disease  (I20,I23-I25)",7201,19628,10066,169,37161,2011
130,Pulmonary embolism (I26),71,161,57,1,291,2011
131,Cor pulmonale (I27.9),64,244,196,1,509,2011
132,Heart failure (I50),995,3633,2811,36,7521,2011
134,Cerebroavascular disease (I60-I69),2710,9766,7343,153,20035,2011
135,Atherosclerosis (I70),11,45,23,0,83,2011
136,Arterial embolism and thrombosis (I74),24,25,12,0,61,2011
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",393,862,283,2,1562,2011
125,Essential hypertension (I10),7811,17758,11123,172,36864,2012
126,Hypertensive heart disease (I11),496,1208,627,22,2355,2012
127,Other hypertensive diseases (I12-I15),409,879,446,14,1761,2012
128,"Acute myocardial infarction (I21,I22)",3291,8989,3364,17,15661,2012
129,"Other ischaemic heart disease  (I20,I23-I25)",7623,19522,9447,62,36762,2012
130,Pulmonary embolism (I26),45,69,36,0,153,2012
131,Cor pulmonale (I27.9),65,266,207,5,547,2012
132,Heart failure (I50),868,3642,2761,7,7339,2012
134,Cerebroavascular disease (I60-I69),2691,10178,7781,86,20859,2012
135,Atherosclerosis (I70),30,57,40,0,127,2012
136,Arterial embolism and thrombosis (I74),38,275,6,1,322,2012
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",306,617,277,1,1210,2012
125,Essential hypertension (I10),7702,17522,10925,181,36330,2013
126,Hypertensive heart disease (I11),602,1335,945,13,2905,2013
127,Other hypertensive diseases (I12-I15),371,821,621,64,1886,2013
128,"Acute myocardial infarction (I21,I22)",3596,9657,3822,14,17102,2013
129,"Other ischaemic heart disease  (I20,I23-I25)",6934,19828,9943,67,36839,2013
130,Pulmonary embolism (I26),46,95,59,0,202,2013
131,Cor pulmonale (I27.9),71,287,257,3,624,2013
132,Heart failure (I50),854,3474,2724,24,7112,2013
134,Cerebroavascular disease (I60-I69),2699,10665,7823,149,21421,2013
135,Atherosclerosis (I70),37,51,35,0,124,2013
136,Arterial embolism and thrombosis (I74),44,65,6,0,116,2013
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",285,668,281,0,1247,2013
149,"Bronchitis, emphysema and other chronic obstructive pulmonar",2144,4300,3075,49,10882,2004
150,Asthma (J45-J46),20851,27759,16059,2108,82043,2004
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2966,13541,10820,34,29532,2014
150,Asthma (J45-J46),19945,29242,18301,141,94062,2014
149,"Bronchitis, emphysema and other chronic obstructive pulmonary disease (J40-J44)",2668.9999999999986,15351.999999999987,12248.999999999996,31.000000000000014,31927.999999999945,2015
150,Asthma (J45-J46),18887.999999999989,30479.999999999931,19351.999999999975,81.000000000000057,94382.000000000102,2015
